,Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Category,Consumed by,Age(20-39),Age(40-59),Age(60-more)
0,Milk,1 cup,100,50,4,1,0,5,Dairy products,"underweight, healthy",no,no,yes
1,Eggs raw,2,100,150,12,12,0,t,Eggs,"underweight, healthy, overweight",yes,yes,yes
2,Eggs Scrambled,1,128,110,10,9,0,1,Eggs,"underweight, healthy",yes,yes,no
3,Coffee,1 cup,230,20,t,0,0,1,"Drinks, Alcohol, Beverages","underweight, healthy, overweight",yes,yes,no
4,Tea,1 cup,230,15,0,t,0,1,"Drinks, Alcohol, Beverages","underweight, healthy, overweight",yes,yes,no
5,Apples,1 med,130,70,t,t,1,18,Fruits,"underweight, healthy, overweight",yes,yes,yes
6,Banana,1 med,150,85,1,t,0.9,23,Fruits,"underweight, healthy, overweight",yes,yes,yes
7,Dates,1/2 cup,75,250,2,t,1.8,65,Fruits,"underweight, healthy, overweight",yes,yes,yes
8,Grapes,1 cup,153,70,1,t,0.8,16,Fruits,"underweight, healthy, overweight",yes,yes,yes
9,Raisins,1/2 cup,88,230,2,t,0.7,82,Fruits,"underweight, healthy, overweight",yes,yes,yes
10,Strawberries,1/2 cup,110,120,1,t,1.3,60,Fruits,"underweight, healthy, overweight",yes,yes,yes
11,Almonds,1/2 cup,70,425,13,38,1.8,13,Seeds and Nuts,"underweight, healthy, overweight",yes,yes,yes
12,Peanuts,1/3 cup,50,290,13,25,1.2,9,Seeds and Nuts,"underweight, healthy, overweight",yes,yes,yes
13,Biscuits,1,38,130,3,4,t,18,"Breads, cereals, fastfood,grains","underweight, healthy, overweight",yes,yes,yes
14,Bread,1 slice,23,60,2,1,0.1,12,"Breads, cereals, fastfood,grains","underweight, healthy",yes,yes,yes
15,Cornflakes,1 cup,25,110,2,t,0.1,25,"Breads, cereals, fastfood,grains","underweight, healthy, overweight",yes,yes,yes
16,Macaroni,1 cup,140,155,5,1,0.1,32,"Breads, cereals, fastfood,grains","underweight, healthy",yes,yes,yes
17,Noodles,1 cup,160,200,7,2,0.1,37,"Breads, cereals, fastfood,grains","underweight, healthy",yes,yes,yes
18,Oatmeal,1 cup,236,150,5,3,4.6,26,"Breads, cereals, fastfood,grains","healthy, overweight",no,yes,yes
