,Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Category,Consumed by,Age(20-39),Age(40-59),Age(60-more)
7,Beans,1 cup,125,25,1,t,0.8,6.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
8,Bean sprouts,1 cup,50,17,1,t,0.3,3.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
9,Beetroots,1 cup,165,1,12,0,t,0.8,Vegetables,"underweight, healthy, overweight",yes,yes,yes
10,Broccoli,1 cup,150,45,5,t,1.9,8.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
11,Brussels sprouts,1 cup,130,60,6,t,1.7,12.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
12,Steamed cabbage,1 cup,170,40,2,t,1.3,9.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
13,Carrots,1 cup,150,45,1,t,0.9,10.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
14,Cauliflower,1 cup,120,30,3,t,1,6.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
15,Corn,1 ear,100,92,3,1,0.8,21.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
16,Cucumbers,8,50,6,t,0,0.2,1.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
17,Mushrooms canned,4,120,12,2,t,t,4.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
18,Mustard greens,1,140,30,3,t,1.2,6.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
19,Onions,1,210,80,2,t,1.6,18.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
20,"Fresh, steamed peas",1 cup,100,70,5,t,2.2,12.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
21,Split cooked peas,4 cups,100,115,8,t,0.4,21.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
22,"Potatoes, baked",1 med.,100,100,2,t,0.5,22.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
23,Potatoes Mashed with milk and butter,1 cup,200,230,4,12,0.7,28.0,Vegetables,"underweight, healthy",yes,yes,yes
24,"Potatoes, pan-fried",3/4 cup,100,268,4,14,0.4,33.0,Vegetables,"underweight, healthy",yes,yes,yes
25,Steamed potatoes before peeling,1 med.,100,80,2,t,0.4,19.0,Vegetables,"underweight, healthy",yes,yes,yes
26,Potato chips,10,20,110,1,7,t,10.0,Vegetables,"underweight, healthy",yes,no,no
27,Radishes,5 small,50,10,t,0,0.3,2.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
28,Soyabeans,1 cup,200,260,22,11,3.2,20.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
29,Spinach,1 cup,100,26,3,t,1,3.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
30,Squash,1 cup,210,35,1,t,0.6,8.0,Vegetables,"underweight, healthy",yes,yes,yes
31,Tomatoes,1 cup,240,50,2,t,1,9.0,Vegetables,"underweight, healthy, overweight",yes,yes,yes
32,Corn meal,1 cup,118,360,9,4,1.6,74.0,"Breads, cereals, fastfood,grains","underweight, healthy, overweight",yes,yes,yes
33,Noodles,1 cup,160,200,7,2,0.1,37.0,"Breads, cereals, fastfood,grains","underweight, healthy",yes,no,no
34,Rice,1 cup,208,748,15,3,1.2,154.0,"Breads, cereals, fastfood,grains","underweight, healthy",yes,no,no
35,White,1 cup,191,692,14,t,0.3,150.0,"Breads, cereals, fastfood,grains","underweight, healthy, overweight",yes,yes,no
36,Rice polish,1/2 cup,50,132,6,6,1.2,28.0,"Breads, cereals, fastfood,grains","underweight, healthy",yes,yes,no
37,whole-wheat,1,40,102,4,1,0.1,20.0,"Breads, cereals, fastfood,grains","underweight, healthy, overweight",yes,yes,yes
38,Spanish rice,1 cup,250,217,4,4,1.2,40.0,"Breads, cereals, fastfood,grains","underweight, healthy, overweight",yes,no,no
39,Vegetable,1 cup,250,80,4,2,0,14.0,Soups,"underweight, healthy, overweight",yes,yes,yes
40,Ice cream,1 cup,150,125,0,0,5,0.0,"Desserts, sweets","underweight, healthy",yes,yes,yes
